reviewer_name,star_rating,review
Krystal,4,"Once upon a time, there was a girl who hated Harry Potter.

I was a massive LOTR geek, and I think I was a little offended that HP blew up so big when masterpieces like LOTR were overlooked. Plus, I saw the first film and it sucked, so it was easy to hate. I refused to read the series on principle.

Then one of my close friends gave me her old, battered copy of this book, with a heartwarming note. In it, she said she was gifting me her copy, because she wanted to share something that was really important to her. HP was the book that got her into reading, and it had consequently led her to LOTR - the very thing we had bonded over. She implored me to read the book that had been partially responsible for our friendship.

That's right, folks: I was bribed into reading this.

Now, here comes the hard part, where I admit how grateful I am to her. I was hooked instantly and read the entire series one after the other. And ... okay ... YES ... I even enjoyed it a little bit.

So.

Now, 12 years later, I'm re-reading with the intention of reviewing from a more objective perspective. So here we go.

I have to give props to this series for what it has done for the world of literature. I'm sure my friend wasn't the only one converted into a reader by this series. As much as I hate to admit it, there are a lot of people who have been inspired to do wonderful things thanks to this series. So kudos for that.

Gotta also give JK an A+ for world building. This stuff is brilliant fantasy, because there's so much going on and even with it's simplicity it has created a solid world of magic that kids (and adults) want to be a part of. This level of creativity inspires the soul and just makes for a fantastic read.

The writing is appropriate for a children's story, but still interesting enough to keep us big kids entertained. This book is about escapism and that's relatable to many, I should think. It's probably the main reason these books are so popular.

Characters ... well.

Even with my retraction of hatred for the series, I will never have a soft spot for Harry. To this day he stands as one of my least favourite characters of all time. Honestly, you'd think some of that time being abused by his family would have humbled him a little, but instead he's an arrogant smart ass who kinda treats people like crap. He and Ron were actually horrendous to Hermione until that troll incident. So Harry will live on as a jerk in my memory. I know he's just a kid, but still. And I also know that this is aimed at kids. But, damn, it makes an absolute sham of abuse. No kid would come out of a life like that and have a tongue as sharp as Harry's. That kid is way too stuck up for a kid who was always treated as though he were worthless. I know, I am a horrible person. I've kind of come to terms with it, these days.

Other characters?

I like Hermione's brilliance and how she stands up for what she believes. I like Ron's sarcasm and brutal honesty. I like Neville's awkwardness, and Malfoy's pathetic attempts to be evil. And I love Snape being a dick to Harry because he kinda deserves it. Dumbledore seems like an incredibly irresponsible headmaster, but lucky McGonagall is there to keep everything up to scratch. Quirrell's a weirdo.

The plot of this one is simple and rollicks along at a decent pace, particularly when you consider that this is the introductory novel. It's actually written pretty damn well to do all that world-building, keep it fast paced, and still be able to hold the interest of adults and children alike.

So yeah, I may not really like JK, or HP, but I can respect this book for what it is, and appreciate the magic of it. I guess I kind of actually love it a little, after all.

***

Original delayed review:

Okay I'm going to amend my one star to three, simply in light of the fact that this was actually okay for a children's book. It's full of creativity - diverse characters, magic, madness - and is a great little adventure for young ones. I think the problem for me with this whole series is that it started out with this fantastic children's book, but as it became of interest to older readers, so the writing style changed. You really had to grow up with the series, because the same kids that are reading this book should not be reading the horrors that come later in the series.

But I'm going to try and review these books objectively.

This first book introduces us to the magical world of Hogwarts, which psychologists would have a field day with, since it's such a contrast to the life Harry is escaping. He goes from being this despised child amongst family to being the hero of the school. I personally like to think that the whole Hogwarts adventure is really Harry's psychotic break, as he rocks back and forth in his little cupboard under the stairs. Anyway.

We get to meet some pretty cool characters, and even the villains are cool in this one. Snape is a legend, and I kind of love that he doesn't take crap from anyone, particularly not the special kid with the scar on his forehead. I have so many issues with Harry being an arrogant douchebag, so I have a little soft spot for the ones who hate him alongside me. I do appreciate his friends, though - probably more than he does. This book unites the trio pretty well, though, and I like the way they're all given their part to play.

It's a great introduction to the series, as it's quite light and full of exciting things. The writing is fairly simplistic, but that's okay here because it's a children's story. I can see why it made such a splash when it landed on shelves because it is certainly unique, but the writing honestly isn't anything special. I can forgive it here, though, because the target audience is quite young.

A decent introduction to the series, full of undulating emotions and plenty to sink your teeth into."
Renee Godding,5,Sometimes home isn’t a place. Sometimes it’s a book…
Cindy Pham,3,"This book was okay. I didn't hate it or love it either way, though towards the end I realized how lukewarm I felt about the story since I would prefer to read any other book I had on hand. I appreciate the level of novelty in the world-building during the time this was first published. The friendship between the trio is cute. Hermione and Ron are fun characters and I might have enjoyed the book more if they had been the main protagonists. Downsides: I cringed at the excessive fatphobia, anti-semitism, and the turban part. I also didn't like that the final action of the book got skipped over quickly by having a fade-to-black moment and then a lengthy explanation told by one of the side characters. It felt like such an abrupt way to end the story... but TBH, I was glad to be done with it so I could move on to other books lol."
Em Lost In Books,3,"Funny, fast and an entertaining read."
Samantha,4,Do you know how hard it is to rate these books while trying to make sure nostalgia the dominating factor??
ambsreads,5,"Despite absolutely adoring the movies and having seen them all countless times I was yet to read the books. I'm not sure why. I had time, I had the books, and I even had the motivation. But, for some reason they continuously kept getting pushed back. Now, I can finally say I've began the Harry Potter series and I love it! Without a doubt I will be reading all the books.

This book was absolutely amazing. It was great seeing new characters and characters I had always loved in different events and in new lights. I felt the movie followed the book pretty accurately, but still some scenes had me on the edge of my seat ignoring all responsibilities to know what happens!

I'm excited to further read about the trio!"
Maureen,5,"I LOVE Harry Potter, fantastic start to the series.

Reread December 2014 for #HarryXmasToYou

There are SO MANY foreshadowing things I never noticed before! Like the centaurs talking about the innocent being the first to die? And just so many things just mentioned that come up later, the dragon in Gringotts, Dittany, Sirius Black, Etc.
There's also a lot of things I've forgotten weren't in the movie, which is crazy! But so good. I love it just as much IF NOT EVEN MORE.

Reread for #HarryXmasToYou 2017

Thing I got emotional about this time because I forgot about it: Hagrid gathering pictures from people who knew Harry’s parents for the scrapbook. SO EMO. I ALSO STILL LOVE THIS BOOK. And the illustrated edition is BEAUTIFUL"
Lara,5,Do I even need to write a review?
Elyse Walters,5,"Why didn’t anyone tell me —haha —-
I can’t use that excuse —-

Harry Potter is a WIZARD......I had no idea.....
I thought he was a funny looking kid - with funny hair - and round glasses.

It’s true....HARRY POTTER is very famous. J. K. Rowling knew Harry Potter would be ‘famous’ -FOR REAL-
Hello?, with 59,157 customers reviews on Amazon - averaging 5 stars - I’d say he’s a very ‘LIKABLE’ HARRY POTTER ‘FAMOUS’ boy too!

How in the world does a first time author —- this was the first Harry Potter, book, yes? - have the vision to not only create a wizardly wonderful story centered around a neglected boy who lived in a cupboard - with his sad history- know that he
would become a hero....the world’s most famous *HARRY POTTER*? AMAZING!

Book girl -Bossy know-it- all, *Hermione*, chess player great friend *Ron*, street-smart wizardly guide *Hagrid*, father figure *Dumbledore*, etc. etc. etc...major and/or minor characters ....THEY COME ALVE! - Great Characters!

....cats, toads, owls, flying motorcycle ....muggles .....( great new word).....
....wizard boarding school...( of course — it seemed so normal -I BELIEVE)....
....food, - sausages- turkey- cake- chocolate frogs- etc. games, rewards, birthdays - Christmas - punishments, hero’s, villains, sports ( Quiddich)....such a cool game....twists and turns .....suspense
The wave of a magic wand.....HARRY POTTER sure got a magical wizardly lesson of bravery at ‘Wizard Boarding School’.

Incredible.... I honestly ‘never’ thought I’d enjoy Harry Potter, ‘this much’.
I must have been missing some marbles.

An extraordinary book for all ages .....something people have been saying FOR AGES!!!!"
Kainat(HUFFLEPUFF & PROUD),3,"No matter what anyone says I am never doubting Snape ever again. He is the best character in this entire series. He is just misunderstood. Damn you Slytherins!! They just know how to win me over.

Snape: check.
Draco: check.
Voldemort: Check check check!

Oh, i would love to know what house you guys belong to?
And NO YOU CAN'T BE IN TWO HOUSES!! That is literally just not possible.

Just took the quiz and i am a HUFFLEPUFF!
You know who else is a Hufflepuff? My new boyfriend!



WHAT??? Voldemort is afraid of Dumbledore??
Hell yeah. I am already loving this. =D

OMG OMG OMG OMG THIS IS HAPPENING! This is my first time so please no spoilers. I know i know we all have watched the movies but i don't really remember anything from this first one."
Virginia Ronan Herondale,5,"I have absolutley no idea why goodreads deleted my review AND rating but thankfully I still had it saved! So here it is again, may it stick around this time!

”It does not do to dwell on dreams and forget to live, remember that.”

Okay, here’s the thing: There are already 96.502 reviews about this book on goodreads and I think it’s safe to say that mine will carry no weight. *lol*
So I decided to make this a short “my thoughts about this book” review. ;-P

1.) ”Thirty-six,” he said, looking up at his mother and father. “That’s two less than last year.”

I totally forgot how horrible the Dursleys are and I think I kind of suppressed how dreadful Dudley is! Such a spoilt brat and this is actually putting it more than just lightly. If anyone should go to a boot camp sort of school it certainly should be him.

2.) ”Ah, go boil yer heads, both of yeh,” said Hagrid. “Harry – yer a wizard.”

Bless Hagrid for being the kind and compassionate man that he is! <3 Those lines went down in Harry Potter history and started it all! XD

3.) ”Blown up a toilet? We’ve never blown up a toilet.”
“Great idea though, thanks, Mum.”

Haha! You gotta love the Weasley twins! They might be side characters but they always manage to bring some humour into the book and they succeed to give that typical sibling and family vibe. =)

4.) ”Are you sure that’s a real spell?” said the girl. “Well, it’s not very good, is it? I’ve tried a few simple spells just for practice and it’s all worked for me.”

When I read this I totally had the Hermione of the movie in my mind. Emma Watson played her so well and I’m really glad that Hermione came off her high horse. She was really insufferable at the beginning of the book. *lol*

5.) ”You’ll soon find out some wizarding families are much better than others, Potter. You don’t want to go making friends with the wrong sort. I can help you there.”

Urgh! And so it begins! I never liked Malfoy and I’ll never do. Sorry, guys! Yes, I felt sorry for him after book 5 but he’s still a slimy little spoilt brat at the beginning of the series. Still, if his parents would have raised him differently he might have even turned out to be a nice guy. *sighs*

6.) ”Let’s try again. Potter, where would you look if I told you to find me a bezoar?”

And here comes another character I’ll never forgive. Snape is a horrible teacher and an even worse human being. There I said it. Nothing that happens over the course of the following books will change anything about the fact that he’s unfair and mean to his students! His past doesn’t excuse his actions. Still, I gotta give Rowling kudos for all the foreboding! Boy, alone the comment with the bezoar. XD And Dumbledore explaining the relationship between Snape and Harry’s father. Well done! ;-)

7.) ”But from that moment on, Hermione Granger became their friend. There are some things you can’t share without ending up liking each other, and knocking out a twelve-foot mountain troll is one of them.”

I still love that scene and I’m really glad Hermione and the others finally bonded. Also, I love that they tried to be good kids at the beginning. In the first book they actually don’t want to do anything forbidden and feel bad about it. Well, and then the other books happen. *LOL* Apparently practice makes perfect though, because they go for plenty of forbidden things but don’t get caught anymore. Haha!

8.) ”All right, all right. Flint nearly kills the Gryffindor Seeker, which could happen to anyone, I’m sure, so a penalty to Gryffindor, taken by Spinnet, who puts it away, no trouble, and we continue play, Gryffindor still in possession.”

Lee Jordan is the best! <3 He’s the main reason I enjoy the Quidditch games so much! His commentary is just funny and brilliant!

9.) ”If I get caught before I can get to the Stone, well, I’ll have to go back to the Dursleys and wait for Voldemort to find me there. It’s only dying a bit later than I would have done, because I’m never going over to the Dark Side!”

I LOVE HARRY’S DEFIANCE!!! That’s one of the many things that made me like him so much! He never backs down and always continues to fight. No matter the odds, he’s facing his troubles holding his head high! Even this early in the series you can already see that he’s going to be a great MC!

And now let’s move on and read book two! ;-)"
James Lafayette Tivendale,4,"I'm not going to review this properly as I think I'm probably the only person in the world who had never read it. I really enjoyed this awesome take on the magic school. Nice world, cool characters, the right amount of humour and kookiness, and a nice twist at the end. I devoured it within 24-hours which is always a good sign. x"
Ahmad Sharabiani ,5,"Harry Potter and the Philosopher's Stone = Harry Potter and the Sorcerer's Stone (Harry Potter, #1), J.K. Rowling
Harry Potter and the Philosopher's Stone is a fantasy novel written by British author J. K. Rowling. It is the first novel in the Harry Potter series and Rowling's debut novel, first published in 1997 by Bloomsbury. It was published in the United States as Harry Potter and the Sorcerer's Stone by Scholastic Corporation in 1998.
The plot follows Harry Potter, a young wizard who discovers his magical heritage as he makes close friends and a few enemies in his first year at the Hogwarts School of Witchcraft and Wizardry. With the help of his friends, Harry faces an attempted comeback by the dark wizard Lord Voldemort, who killed Harry's parents, but failed to kill Harry when he was just 15 months old."
"Khanh, first of her name, mother of bunnies ",5,"Rereading for the 3rd time for the group read.

Once upon a time, there was a 10th grader named Khanh who didn't get along with people very well. She wasn't an outcast in school, and all the bullying and teasing stopped with the commencement of high school, but she had always been a bookworm and has generally preferred the company of her own thoughts.



Lunchtime had always been dedicated not to eating, but to sitting in the library, browsing through books.

(Not to worry, she got her nutrition in 5th period in the form of a giant 6-inch M&M studded cookie and a package of Sour Patch Kids and/or a package of Reese's Pieces. Ah, the effortless metabolism of youth.)

One day, there were shiny new books on her school library's ""New Releases"" shelf. Harry Potter, books 1 through 3. She had heard of the books before, of course, since they were a constant presence on the NYT bestsellers list, but she had always avoided them, thinking of them as children's novels.

At the grand age of 14, surely she was too old for a little kid's fantasy novel. She had read the Outlander series earlier that year, after all. And it had sex in it. SEX! She didn't really quite understand everything in the book, but the point is, she had read them. Surely, at 14, Khanh was ready for more mature novels.

And that did not include Harry Potter. Harry Potter is 11. Khanh is 14. There is a vast difference in their ages. Khanh was a teenager, dammit.

But the Harry Potter books were new. Brand new. They were shiny, they had never been touched by another reader. And Khanh was tempted.

She picked up the first book in the series: Harry Potter and the Sorcerer's Stone.

The end.

Or rather, the beginning."
